rule	support	confidence	lift
('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.508	1.000	1.969
('ECT_5.0', 'PT_8', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)')	0.508	1.000	1.969
('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'PCTD_wood frame (5)')	0.508	1.000	1.969
('PCT_5.0', 'PT_8', 'ECT_5.0') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.508	1.000	1.969
('PTD_otc alterations permit', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECT_5.0')	0.508	1.000	1.969
('PTD_otc alterations permit', 'ECT_5.0', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)')	0.508	1.000	1.969
('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)') ==> ('ECT_5.0', 'PT_8', 'PCTD_wood frame (5)')	0.508	1.000	1.969
('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0') ==> ('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.508	1.000	1.969
('P_2.0', 'PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.223	1.000	1.969
('ECT_5.0', 'P_2.0', 'PT_8', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)')	0.223	1.000	1.969
('PCT_5.0', 'P_2.0', 'PT_8', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'PCTD_wood frame (5)')	0.223	1.000	1.969
('PCT_5.0', 'P_2.0', 'PT_8', 'ECT_5.0') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.223	1.000	1.969
('PTD_otc alterations permit', 'P_2.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECT_5.0')	0.223	1.000	1.969
('PTD_otc alterations permit', 'P_2.0', 'ECT_5.0', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)')	0.223	1.000	1.969
('PCT_5.0', 'PTD_otc alterations permit', 'P_2.0', 'ECTD_wood frame (5)') ==> ('ECT_5.0', 'PT_8', 'PCTD_wood frame (5)')	0.223	1.000	1.969
('PCT_5.0', 'PTD_otc alterations permit', 'P_2.0', 'ECT_5.0') ==> ('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.223	1.000	1.969
('PTD_otc alterations permit', 'ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)')	0.284	1.000	1.969
('PT_8', 'ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)')	0.284	1.000	1.969
