frequent_item_set	support
('PT_8',)	0.899
('PTD_otc alterations permit',)	0.899
('PTD_otc alterations permit', 'PT_8')	0.899
('PCTD_wood frame (5)',)	0.575
('PCT_5.0',)	0.575
('PCT_5.0', 'PCTD_wood frame (5)')	0.575
('ECT_5.0',)	0.570
('ECTD_wood frame (5)',)	0.570
('ECT_5.0', 'ECTD_wood frame (5)')	0.570
('PCT_5.0', 'ECT_5.0')	0.563
('ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.563
('ECT_5.0', 'PCTD_wood frame (5)')	0.563
('PCT_5.0', 'ECTD_wood frame (5)')	0.563
('ECT_5.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.563
('PCT_5.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.563
('PCT_5.0', 'ECT_5.0', 'ECTD_wood frame (5)')	0.563
('PCT_5.0', 'ECT_5.0', 'PCTD_wood frame (5)')	0.563
('ECT_5.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)', 'PCT_5.0')	0.563
('PTD_otc alterations permit', 'PCT_5.0')	0.514
('PT_8', 'PCTD_wood frame (5)')	0.514
('PTD_otc alterations permit', 'PCTD_wood frame (5)')	0.514
('PCT_5.0', 'PT_8')	0.514
('PTD_otc alterations permit', 'PCT_5.0', 'PCTD_wood frame (5)')	0.514
('PCT_5.0', 'PT_8', 'PCTD_wood frame (5)')	0.514
('PTD_otc alterations permit', 'PCT_5.0', 'PT_8')	0.514
('PTD_otc alterations permit', 'PT_8', 'PCTD_wood frame (5)')	0.514
('PT_8', 'PCTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0')	0.514
('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.508
('PT_8', 'ECTD_wood frame (5)')	0.508
('PTD_otc alterations permit', 'ECT_5.0')	0.508
('PT_8', 'ECT_5.0')	0.508
('PTD_otc alterations permit', 'PT_8', 'ECT_5.0')	0.508
('PT_8', 'ECTD_wood frame (5)', 'ECT_5.0')	0.508
('PTD_otc alterations permit', 'PT_8', 'ECTD_wood frame (5)')	0.508
('PTD_otc alterations permit', 'ECT_5.0', 'ECTD_wood frame (5)')	0.508
('PT_8', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'ECT_5.0')	0.508
('PTD_otc alterations permit', 'ECT_5.0', 'PCTD_wood frame (5)')	0.508
('PT_8', 'ECT_5.0', 'PCTD_wood frame (5)')	0.508
('PCT_5.0', 'ECT_5.0', 'PT_8')	0.508
('PTD_otc alterations permit', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.508
('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)')	0.508
('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.508
('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)')	0.508
('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.508
('ECTD_wood frame (5)', 'PCTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0')	0.508
('PT_8', 'PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.508
('ECT_5.0', 'PCTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0')	0.508
('PT_8', 'PCTD_wood frame (5)', 'PCT_5.0', 'ECT_5.0')	0.508
('PT_8', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0')	0.508
('ECT_5.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)', 'PTD_otc alterations permit')	0.508
('ECT_5.0', 'PCTD_wood frame (5)', 'PTD_otc alterations permit', 'PT_8')	0.508
('ECT_5.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)', 'PT_8')	0.508
('PT_8', 'ECTD_wood frame (5)', 'PCT_5.0', 'ECT_5.0')	0.508
('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)', 'PTD_otc alterations permit')	0.508
('ECT_5.0', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0')	0.508
('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)', 'PCT_5.0')	0.508
('PT_8', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.508
('PT_8', 'PCTD_wood frame (5)', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'ECT_5.0')	0.508
('ECT_5.0', 'PCTD_wood frame (5)', 'ECTD_wood frame (5)', 'PCT_5.0', 'PT_8')	0.508
('PT_8', 'PCTD_wood frame (5)', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0')	0.508
('ECT_5.0', 'PCTD_wood frame (5)', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0')	0.508
